iter	Logloss
0	0.6772682884
1	0.6615853218
2	0.6489953916
3	0.6342920561
4	0.6203540981
5	0.6075985491
6	0.5947667482
7	0.5823982176
8	0.5701729851
9	0.5593117538
10	0.5484382903
11	0.5404921182
12	0.5310765626
13	0.5227990269
14	0.512854626
15	0.5040440415
16	0.4956146324
17	0.4880510651
18	0.4814130715
19	0.4736623212
20	0.4670109184
21	0.4604675461
22	0.4529929673
23	0.4473075762
24	0.44137279
25	0.4352253055
26	0.4302606924
27	0.4246927056
28	0.4193426295
29	0.4136925059
30	0.4093945716
31	0.4045536682
32	0.3996837185
33	0.3953314327
34	0.3908888551
35	0.3873955172
36	0.3844290909
37	0.3807119995
38	0.3773481721
39	0.3736769831
40	0.3701947005
41	0.3670819075
42	0.3642670603
43	0.3611343846
44	0.3579609348
45	0.3548921948
46	0.3522960148
47	0.3499031382
48	0.3481244174
49	0.3460245684
50	0.3435297564
51	0.3413583635
52	0.3387052678
53	0.3368751379
54	0.3348228097
55	0.3327066301
56	0.3308789802
57	0.3292575552
58	0.327191986
59	0.3254653889
60	0.3237077907
61	0.3218988256
62	0.3204870303
63	0.3189276493
64	0.3174111232
65	0.3160535324
66	0.3147240421
67	0.3133030411
68	0.3121462315
69	0.3108620762
70	0.3098240792
71	0.3088659281
72	0.307893422
73	0.3065043888
74	0.3056601532
75	0.3045877924
76	0.3036127852
77	0.3024481361
78	0.3013835728
79	0.3004586927
80	0.2995972016
81	0.2985991591
82	0.2976394948
83	0.2968891449
84	0.2961487573
85	0.2953427948
86	0.2946726061
87	0.2940129472
88	0.2934636308
89	0.2926232834
90	0.2918702853
91	0.2908956564
92	0.2900354475
93	0.2891977694
94	0.288637776
95	0.2877704631
96	0.2870424969
97	0.2865099106
98	0.2859474792
99	0.2854161959
100	0.2847445569
101	0.2841376102
102	0.2836594174
103	0.2831599548
104	0.28261129
105	0.2819624972
106	0.2814450855
107	0.2809626051
108	0.280368269
109	0.2799516998
110	0.2796019667
111	0.2793250806
112	0.2788179676
113	0.2783356974
114	0.277735077
115	0.2771784254
116	0.2768053417
117	0.2764927467
118	0.2761655025
119	0.2756767588
120	0.2752957305
121	0.2749399022
122	0.2745610597
123	0.2740852839
124	0.2736524682
125	0.2733934891
126	0.2727576852
127	0.2723474214
128	0.2718174412
129	0.2714636306
130	0.2711006774
131	0.2707870525
132	0.270477421
133	0.2700964347
134	0.2699765502
135	0.2697133887
136	0.2695716038
137	0.2691133778
138	0.2687096714
139	0.2683250911
140	0.2681426792
141	0.2676392863
142	0.2673767762
143	0.2671204874
144	0.2667895861
145	0.2664823926
146	0.2662679499
147	0.2659358926
148	0.265557029
149	0.2653090422
150	0.2651987207
151	0.2649459208
152	0.2645700208
153	0.2640522938
154	0.2636717699
155	0.2634306768
156	0.2631752498
157	0.2629422485
158	0.2625967819
159	0.2622288896
160	0.2619393089
161	0.2617649257
162	0.261474189
163	0.2612156093
164	0.2608653507
165	0.2605413221
166	0.2602524771
167	0.2600525575
168	0.2598579344
169	0.2596561022
170	0.2594910929
171	0.2592043286
172	0.2590263093
173	0.2588427625
174	0.2585573433
175	0.2582974184
176	0.2579659916
177	0.2579026025
178	0.2576217231
179	0.2574255657
180	0.2571451907
181	0.2567749654
182	0.256537025
183	0.2562913711
184	0.2561134359
185	0.255840249
186	0.2556380175
187	0.2553817917
188	0.2551573866
189	0.2548259388
190	0.2546697359
191	0.2542358903
192	0.253995785
193	0.2537412407
194	0.2534690205
195	0.2533081937
196	0.2532017816
197	0.2529667205
198	0.2527994624
199	0.2525885926
200	0.2524856273
201	0.2523842804
202	0.2521926838
203	0.2519723771
204	0.2518309706
205	0.2516630609
206	0.2515213811
207	0.2513014108
208	0.2511645861
209	0.2510049363
210	0.2507450955
211	0.250449819
212	0.2502473353
213	0.2501259376
214	0.2499652158
215	0.2497060056
216	0.2495772937
217	0.2494455553
218	0.2493760711
219	0.2492749343
220	0.2491083697
221	0.2490121721
222	0.248819987
223	0.2486082555
224	0.2483171615
225	0.2481997992
226	0.247989623
227	0.24773428
228	0.2475930416
229	0.2474388774
230	0.2473969262
231	0.2473099133
232	0.2470918556
233	0.2469193219
234	0.2466965983
235	0.246504224
236	0.2464223394
237	0.2462843798
238	0.246097365
239	0.2460325047
240	0.2459232341
241	0.2456972737
242	0.2454691275
243	0.2451947215
244	0.2450392121
245	0.2449587987
246	0.2448008514
247	0.2447820826
248	0.2446743463
249	0.2446191961
250	0.2446007216
251	0.2444475032
252	0.2442732251
253	0.244145417
254	0.2440199419
255	0.243917502
256	0.2437498235
257	0.2436143439
258	0.2435174737
259	0.2433429644
260	0.2431248857
261	0.2430492222
262	0.2428236192
263	0.2426624351
264	0.2425760106
265	0.2424751471
266	0.2423281919
267	0.2421878573
268	0.2419707243
269	0.2418099395
270	0.2417309133
271	0.241626687
272	0.2415219772
273	0.2412447759
274	0.2411250385
275	0.2408562022
276	0.2407093941
277	0.2405339601
278	0.2404489649
279	0.2403579376
280	0.2402002424
281	0.2400581633
282	0.2398486177
283	0.239696324
284	0.2395761033
285	0.2394605064
286	0.2393700886
287	0.2392643069
288	0.2390604781
289	0.2388618406
290	0.2387802923
291	0.2387183113
292	0.2386393061
293	0.238510279
294	0.2384463854
295	0.2383519112
296	0.2382016773
297	0.2380392952
298	0.2379344173
299	0.2378224775
300	0.2377217401
301	0.2375747218
302	0.2375132873
303	0.237429406
304	0.2373252848
305	0.2372240219
306	0.2372023107
307	0.2371375975
308	0.2369979144
309	0.236996233
310	0.2369709067
311	0.2367924041
312	0.236658648
313	0.2366186725
314	0.2365377127
315	0.2363792398
316	0.2362645257
317	0.2361834397
318	0.2360104227
319	0.2358250053
320	0.2357080843
321	0.2356274187
322	0.2354128078
323	0.2352502156
324	0.2351516219
325	0.2350072519
326	0.2349340265
327	0.2346874899
328	0.2345017572
329	0.2344029114
330	0.2342829008
331	0.2341945217
332	0.2340930697
333	0.2339801631
334	0.2339095439
335	0.2337685577
336	0.2336580471
337	0.2335438794
338	0.2334402626
339	0.2333271037
340	0.2331892071
341	0.2330925051
342	0.2329853573
343	0.2328174265
344	0.2327109093
345	0.2326436108
346	0.2325341301
347	0.2324323838
348	0.232328809
349	0.2322292275
350	0.2321404701
351	0.2320981617
352	0.2319761754
353	0.2318566062
354	0.2317158933
355	0.2315786272
356	0.2314018481
