iter	Passed	Remaining
0	139	139816
1	142	71259
2	144	48103
3	146	36509
4	149	29675
5	150	25002
6	152	21611
7	154	19113
8	155	17162
9	157	15575
10	158	14274
11	160	13204
12	161	12291
13	162	11478
14	164	10796
15	165	10199
16	167	9688
17	169	9228
18	170	8806
19	172	8428
20	173	8101
21	175	7807
22	177	7521
23	178	7257
24	180	7024
25	181	6817
26	183	6619
27	185	6433
28	187	6266
29	188	6109
30	190	5954
31	192	5808
32	193	5683
33	195	5559
34	197	5443
35	199	5331
36	201	5234
37	202	5136
38	204	5040
39	206	4946
40	208	4872
41	209	4786
42	211	4706
43	213	4635
44	215	4567
45	216	4494
46	218	4423
47	219	4363
48	221	4301
49	223	4240
50	224	4180
51	226	4128
52	228	4078
53	229	4025
54	231	3972
55	232	3925
56	234	3882
57	236	3835
58	237	3789
59	239	3744
60	240	3708
61	242	3670
62	244	3629
63	245	3589
64	247	3553
65	248	3520
66	250	3488
67	252	3456
68	254	3429
69	255	3397
70	257	3366
71	258	3334
72	260	3307
73	262	3280
74	263	3251
75	265	3222
76	266	3197
77	268	3176
78	270	3149
79	271	3122
80	273	3100
81	274	3078
82	276	3054
83	277	3030
84	279	3007
85	281	2986
86	282	2965
87	284	2943
88	285	2921
89	287	2903
90	289	2888
91	290	2870
92	292	2850
93	294	2836
94	296	2820
95	297	2803
96	299	2785
97	301	2771
98	302	2755
99	304	2739
100	305	2722
101	307	2706
102	309	2691
103	310	2675
104	311	2658
105	313	2643
106	315	2629
107	316	2615
108	318	2601
109	319	2587
110	321	2575
111	323	2561
112	324	2547
113	325	2533
114	327	2520
115	329	2508
116	330	2494
117	331	2481
118	333	2468
119	335	2456
120	336	2444
121	337	2432
122	339	2419
123	340	2408
124	342	2399
125	344	2387
126	345	2375
127	347	2366
128	349	2356
129	350	2345
130	351	2333
131	353	2323
132	355	2314
133	356	2303
134	357	2291
135	359	2281
136	360	2272
137	362	2263
138	364	2255
139	365	2246
140	367	2240
141	369	2232
142	370	2222
143	372	2213
144	373	2204
145	375	2196
146	376	2187
147	378	2178
148	379	2169
149	381	2162
150	383	2157
151	385	2148
152	386	2140
153	388	2132
154	390	2126
155	391	2117
156	393	2110
157	395	2105
158	396	2099
159	398	2094
160	400	2087
161	402	2081
162	403	2073
163	405	2065
164	406	2057
165	408	2051
166	409	2044
167	411	2036
168	412	2029
169	414	2022
170	415	2015
171	417	2008
172	418	2001
173	420	1994
174	421	1989
175	423	1984
176	425	1977
177	426	1970
178	428	1964
179	429	1958
180	431	1951
181	432	1944
182	434	1938
183	435	1932
184	437	1926
185	438	1920
186	440	1913
187	441	1907
188	443	1903
189	445	1897
190	446	1890
191	448	1885
192	449	1879
193	450	1873
194	452	1867
195	453	1861
196	455	1856
197	457	1851
198	458	1845
199	459	1839
200	461	1834
201	463	1829
202	464	1823
203	465	1817
204	467	1812
205	468	1807
206	470	1802
207	471	1797
208	473	1791
209	474	1786
210	476	1781
211	477	1776
212	479	1771
213	480	1765
214	482	1761
215	484	1757
216	485	1752
217	487	1747
218	488	1743
219	490	1739
220	492	1734
221	493	1729
222	494	1724
223	496	1720
224	498	1715
225	499	1710
226	501	1706
227	515	1744
228	516	1740
229	518	1736
230	520	1731
231	521	1726
232	522	1721
233	524	1716
234	525	1711
235	527	1706
236	528	1701
237	530	1698
238	531	1693
239	533	1689
240	534	1684
241	536	1680
242	538	1676
243	539	1672
244	541	1667
245	542	1663
246	544	1659
247	545	1654
248	547	1650
249	548	1645
250	550	1642
251	551	1638
252	553	1633
253	554	1629
254	556	1625
255	558	1622
256	559	1618
257	561	1613
258	562	1609
259	564	1606
260	565	1602
261	567	1597
262	568	1593
263	570	1590
264	571	1586
265	573	1581
266	574	1577
267	576	1574
268	578	1570
269	579	1567
270	581	1563
271	583	1561
272	585	1558
273	586	1554
274	587	1550
275	589	1546
276	591	1542
277	592	1539
278	594	1535
279	595	1531
280	597	1527
281	598	1524
282	600	1520
283	601	1516
284	602	1512
285	604	1509
286	605	1505
287	607	1501
288	608	1498
289	610	1495
290	612	1491
291	613	1487
292	615	1484
293	616	1480
294	618	1477
295	619	1473
296	621	1470
297	622	1466
298	624	1463
299	625	1460
300	627	1456
301	628	1453
302	630	1450
303	632	1447
304	633	1443
305	634	1439
306	636	1436
307	638	1433
308	639	1430
309	640	1426
310	642	1423
311	643	1419
312	645	1416
313	646	1413
314	648	1409
315	649	1406
316	651	1404
317	653	1400
318	654	1397
319	656	1394
320	657	1391
321	659	1388
322	660	1384
323	662	1381
324	663	1378
325	665	1375
326	666	1372
327	668	1369
328	669	1365
329	671	1363
330	672	1360
331	674	1356
332	675	1353
333	677	1350
334	678	1347
335	680	1344
336	681	1341
337	683	1338
338	684	1335
339	686	1332
340	687	1329
341	689	1326
342	690	1323
343	692	1319
344	693	1317
345	695	1313
346	696	1310
347	698	1308
348	700	1306
349	701	1302
350	702	1299
351	704	1297
352	706	1294
353	707	1291
354	709	1289
355	711	1287
356	713	1284
357	714	1281
358	716	1278
359	717	1275
360	719	1273
361	720	1270
362	722	1267
363	723	1264
364	725	1262
365	727	1259
366	728	1256
367	729	1253
368	731	1250
369	733	1248
370	734	1245
371	736	1242
372	737	1240
373	739	1238
374	741	1235
375	742	1232
376	744	1229
377	745	1227
378	747	1224
379	748	1221
380	750	1218
381	751	1216
382	753	1213
383	754	1210
384	756	1208
385	757	1205
386	759	1202
387	760	1199
388	762	1197
389	763	1194
390	765	1191
391	766	1189
392	768	1186
393	769	1183
394	771	1181
395	772	1178
396	774	1176
397	776	1173
398	777	1171
399	779	1168
400	780	1166
401	782	1163
402	783	1160
403	785	1158
404	786	1155
405	788	1153
406	790	1151
407	791	1148
408	793	1146
409	794	1143
410	796	1141
411	797	1138
412	799	1136
413	800	1133
414	802	1130
415	803	1128
416	805	1125
417	806	1123
418	808	1120
419	809	1118
420	811	1115
421	812	1113
422	814	1110
423	815	1108
424	817	1105
425	818	1103
426	820	1101
427	821	1098
428	823	1095
429	824	1093
430	826	1091
431	828	1088
432	829	1086
433	831	1083
434	832	1081
435	834	1079
436	836	1077
437	837	1074
438	839	1072
439	840	1069
440	841	1067
441	843	1064
442	844	1062
443	846	1060
444	848	1057
445	849	1055
446	851	1052
447	852	1050
448	854	1048
449	855	1045
450	857	1043
451	858	1040
452	860	1038
453	861	1036
